Date,Clicks,Impressions,CTR,Position
2026-01-30,0,0,,
2026-01-31,0,1,0%,84
2026-02-01,0,1,0%,1
2026-02-02,2,5,40%,10.6
2026-02-03,2,19,10.53%,6.1
2026-02-04,2,60,3.33%,12.2
2026-02-05,1,80,1.25%,9.6
2026-02-06,0,57,0%,9
2026-02-07,1,79,1.27%,11.7
2026-02-08,0,64,0%,11.5
2026-02-09,3,96,3.12%,11.6
2026-02-10,1,91,1.1%,9.8
2026-02-11,2,78,2.56%,10.3
2026-02-12,1,86,1.16%,13
2026-02-13,0,76,0%,9.7
2026-02-14,0,72,0%,12.3
2026-02-15,0,75,0%,10
2026-02-16,3,144,2.08%,9.6
2026-02-17,5,197,2.54%,11.7
2026-02-18,4,216,1.85%,9.9
2026-02-19,3,184,1.63%,9.9
2026-02-20,2,256,0.78%,7.7
2026-02-21,1,162,0.62%,8.8
2026-02-22,2,83,2.41%,8.8
2026-02-23,3,150,2%,8.9
2026-02-24,2,139,1.44%,10.1
2026-02-25,1,149,0.67%,8.6
2026-02-26,0,99,0%,9.2
2026-02-27,0,92,0%,8.7
2026-02-28,1,62,1.61%,9
2026-03-01,2,92,2.17%,9.8
2026-03-02,2,88,2.27%,7.3
2026-03-03,1,129,0.78%,9.2
2026-03-04,1,96,1.04%,23
2026-03-05,2,178,1.12%,39.7
2026-03-06,0,87,0%,16.1
2026-03-07,1,120,0.83%,25.1
2026-03-08,0,123,0%,18.3
2026-03-09,3,217,1.38%,20.9
2026-03-10,5,300,1.67%,15.5
2026-03-11,7,347,2.02%,17.8
2026-03-12,3,260,1.15%,18.9
2026-03-13,2,277,0.72%,13.9
2026-03-14,1,274,0.36%,26
2026-03-15,2,222,0.9%,14.6
2026-03-16,3,284,1.06%,16.8
2026-03-17,4,284,1.41%,15
2026-03-18,8,285,2.81%,13.3
2026-03-19,2,193,1.04%,13.6
2026-03-20,2,127,1.57%,14.7
2026-03-21,0,152,0%,15.3
2026-03-22,1,210,0.48%,10.3
2026-03-23,4,254,1.57%,12.5
2026-03-24,4,326,1.23%,9.8
2026-03-25,4,314,1.27%,11.2
2026-03-26,3,274,1.09%,11.2
2026-03-27,3,229,1.31%,11.9
2026-03-28,3,245,1.22%,9.8
2026-03-29,3,231,1.3%,8.6
2026-03-30,0,243,0%,12.3
2026-03-31,3,208,1.44%,9.2
